user_query,response
"Hola, estoy teniendo problemas con mi conexión a internet, se desconecta frecuentemente.", "Lamento los inconvenientes. ¿Ha intentado reiniciar el módem? Puede hacerlo desconectando el dispositivo durante 10 segundos y volviéndolo a enchufar."
"Mi internet está muy lento, ¿qué puedo hacer?", "Entiendo la molestia. Puede ser útil verificar si hay muchos dispositivos conectados a la red. También puede intentar reiniciar el módem para refrescar la conexión."
"Quiero contratar un nuevo plan de internet, ¿me pueden ayudar?", "Claro, con gusto le ayudamos a elegir el mejor plan de acuerdo a sus necesidades. Tenemos opciones de 100MB, 300MB y 500MB. ¿Cuál le interesa más?"
"¿Cuánto cuesta la instalación del servicio?", "El costo de la instalación depende del plan que elija. Para planes de 100MB o más, la instalación es gratuita."
"Mi módem no enciende, ¿qué puedo hacer?", "Lo siento mucho por los problemas con su módem. ¿Ha revisado si está correctamente enchufado a la corriente? También verifique si hay algún indicador de luz en el dispositivo."
"¿Cómo puedo cambiar la contraseña de mi WiFi?", "Para cambiar la contraseña de su WiFi, debe acceder al panel de configuración del módem ingresando la dirección IP 192.168.1.1 en su navegador. Luego, ingrese las credenciales de acceso."
"¿Pueden enviar a alguien para revisar mi conexión?", "Podemos enviar a un técnico a su domicilio. Primero, confirmemos si hay algún problema en la red que podamos solucionar remotamente. ¿Ha intentado reiniciar el módem?"
"¿Cuánto tiempo toma la instalación del internet?", "La instalación usualmente toma entre 1 y 2 horas, dependiendo de la infraestructura en su área y del tipo de servicio que esté solicitando."
"¿Ofrecen algún tipo de descuento o promoción?", "Actualmente tenemos una promoción en la que ofrecemos el primer mes gratis al contratar el plan de 300MB o superior."
"Mi internet no funciona después de un corte de energía.", "Entiendo su preocupación. En muchos casos, después de un corte de energía, solo es necesario reiniciar el módem. Por favor, intente desconectarlo por 10 segundos y vuelva a conectarlo."
"hola buenos dias.","hola un saludo cordial de nuestro  equipo,en q te podemos ayudar?"
"¿Cuánto cuesta el servicio de internet?", "El costo del servicio de internet varia segun la opciones q elija,los precios de cada plan estan en 20,30 y 40 dolares segun el plan que elijas"
"¿Cómo puedo cancelar mi suscripción?","Puedes cancelar tu suscripción desde tu cuenta en línea o llamando a nuestro servicio al cliente."
"¿Ofrecen promociones para nuevos clientes?","Sí, tenemos promociones especiales para nuevos clientes. Visita nuestra página web para ver las ofertas actuales."
"¿Puedo tener más de una línea de internet en casa?","Sí, puedes tener múltiples líneas de internet. Consulta nuestros planes familiares para más información."
"¿Cómo puedo acceder a mis facturas anteriores?","Puedes acceder a tus facturas anteriores desde la sección 'Facturas' en tu cuenta en línea."
"¿Qué medidas toman para proteger mis datos personales?","Tomamos muy en serio la seguridad de tus datos y utilizamos tecnología avanzada para proteger tu información personal."
"¿Ofrecen servicios de instalación profesional?","Sí, ofrecemos servicios de instalación profesional. Puedes solicitarlo al momento de contratar tu servicio."
"¿Puedo pausar mi servicio temporalmente?","Sí, ofrecemos opciones para pausar el servicio. Comunícate con nuestro servicio al cliente para más detalles."
"¿Cómo puedo reportar un problema técnico?","Puedes reportar problemas técnicos a través de nuestro chat en vivo, por teléfono o enviando un correo electrónico a soporte."